Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Feb-77,,,,152,12,,4,8,2,292,76,1618,86,,144,4,8,406,,22,1538,10,,148,96,,4,,142,,58,,,52,38,,40,,56,78,28,,196,,24,,326,,32,50,44,,376,372,14,,,,34,,,6,,118,22,102,270,12,,,,,,,,,,,,,,,,,
Mar-77,,,,140,16,,20,6,2,334,118,1894,124,,144,4,10,474,,34,1890,16,2,166,188,,10,,190,,108,,,78,78,,62,,54,88,26,,230,,24,,338,,32,74,54,,410,454,20,,,,54,4,,24,,132,20,104,284,20,,,,,,,,,,,,,,,,,
Apr-77,,,,192,14,,14,10,8,372,138,2114,124,,122,12,10,430,,42,1834,8,,162,268,,2,,182,,106,,,54,98,,128,,34,100,24,,266,,32,,348,,46,60,50,,438,460,12,,,,94,6,,8,,136,32,108,366,18,,,,,,,,,,,,,,,,,
May-77,,,,200,8,,26,10,8,378,134,2308,152,,154,8,14,504,,18,1946,10,,202,378,,2,,208,,106,,,60,186,,150,,42,106,18,,182,,34,,416,,90,50,36,,380,530,18,,,,118,8,,16,,182,30,118,328,18,,,,,,,,,,,,,,,,,
Jun-77,,,,214,14,,14,10,8,392,136,2378,130,,206,6,8,556,,34,1992,4,,216,392,,6,,240,,134,,,96,172,,166,,58,102,40,,244,,22,,452,,56,62,68,,412,562,14,,,,126,8,,16,,184,80,114,370,16,,,,,,,,,,,,,,,,,
Jul-77,,,,212,16,,18,12,2,502,100,2620,138,,224,10,10,584,,32,2280,10,,242,602,,8,,236,,116,,,64,282,,198,,52,114,42,,276,,56,,506,,46,66,76,,448,570,20,,,,142,10,,18,,244,82,134,372,32,,,,,,,,,,,,,,,,,
Aug-77,,,,268,16,,34,14,6,358,118,2598,136,,180,4,16,596,,38,2224,16,,224,416,,4,,256,,144,,,74,182,,132,,52,136,34,,272,,42,,444,,38,66,74,,470,632,18,,,,158,18,,28,,202,70,122,386,28,,,,,,,,,,,,,,,,,
Sep-77,,,,218,18,,24,2,12,412,128,2278,148,,170,2,14,570,,18,1972,12,2,230,346,,8,,258,,132,,,70,142,,120,,42,110,40,,262,,32,,452,,34,68,48,,484,524,8,,,,112,8,,8,,176,46,116,362,28,,,,,,,,,,,,,,,,,
Oct-77,,,,250,24,,32,12,2,498,102,2570,138,,198,,12,554,,26,2296,2,,244,294,,,,280,,122,,,84,108,,106,,56,132,30,,288,,40,,458,,20,82,64,,532,608,18,,,,72,2,,28,,180,44,106,382,22,,,,,,,,,,,,,,,,,
Nov-77,,,,248,16,,18,8,4,428,148,2344,130,,186,,8,508,,24,2200,12,,246,196,,4,,210,,122,,,88,70,,52,,74,84,26,,284,,22,,508,,32,86,62,,466,562,16,,,,76,,,16,,192,22,118,340,12,,,,,,,,,,,,,,,,,
