Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Jan-95,30,,,,12,,32,,,336,86,866,78,,246,2,,192,28,,730,,,2,198,56,,6,,14,,8,,,4,,,8,64,,104,34,178,,,46,302,,,,,2,160,342,4,4,12,10,,,2,42,2,258,,40,54,34,6,,4,,,20,36,10,,,,,14,2,,,24
Feb-95,24,,,12,16,,16,,,266,92,826,74,,188,4,,188,22,,668,,,2,238,68,,4,,6,,4,,,4,,,16,66,,92,30,152,2,,58,288,,4,,,4,138,292,8,10,10,14,,,2,36,8,286,,32,62,22,4,,2,,,32,38,16,,2,4,,28,,,,20
Mar-95,24,,,8,10,,30,,,320,118,820,92,,264,4,,190,22,,770,,,2,262,52,,4,,16,,2,,,2,,,8,70,,110,22,224,,,46,336,,,,,2,128,366,4,10,18,26,,,6,68,2,284,2,28,42,30,2,,4,,,50,78,38,,,6,,42,2,2,,28
Apr-95,44,,,8,8,2,34,,,334,122,882,86,,234,2,,198,18,2,716,,,,258,64,,6,,8,,2,,,2,,,8,66,,82,30,228,4,2,58,324,2,,4,,2,116,366,6,2,4,28,,,2,46,2,306,2,26,62,26,6,,2,,,78,122,68,,,8,,54,,,,34
May-95,26,,,12,12,,36,,,338,100,852,112,,244,2,,198,6,4,778,,,2,246,50,,2,,10,,,,,,,,4,60,,110,22,256,4,,48,374,,2,6,,6,108,382,14,10,4,16,,,,76,2,306,,26,52,14,,,,,,98,162,76,,,2,,86,2,4,,98
Jun-95,38,,,16,14,,44,,,344,100,914,126,,262,8,,220,26,4,746,,,,246,82,,4,,6,,2,,,2,,,8,66,,104,26,260,,2,56,388,,4,6,,2,166,356,8,2,6,24,,,2,64,,336,2,22,62,26,4,,6,,,144,172,90,,2,4,,70,2,2,,94
Jul-95,38,,,6,14,,34,,,332,130,878,106,,274,4,,240,22,,808,,,2,266,66,,2,,12,,2,,,4,,,16,84,,120,22,240,,4,54,402,,2,,,2,212,396,10,4,6,30,,,2,36,2,356,,22,72,24,2,2,10,,,130,210,102,2,,6,,66,2,2,,86
Aug-95,30,,,10,6,,44,,,368,98,936,136,,236,,,248,26,,846,,,2,360,98,,12,,10,,8,,,2,,,14,88,,132,34,266,4,,80,456,,2,,,2,130,410,10,4,14,46,,,,68,6,374,2,28,66,16,,,6,,2,132,186,100,,,6,,112,,6,,98
Sep-95,18,,,18,18,,20,,,364,114,972,120,,286,4,,242,40,2,792,,,,284,78,,4,,6,,10,,,,,,6,84,,136,42,250,,,52,424,,2,,,,164,408,14,4,12,24,,,,56,4,312,,20,66,26,,,6,,2,126,150,68,4,,4,,62,2,,,80
Oct-95,40,2,,24,20,,30,,,322,134,1048,120,,256,2,,216,20,2,878,,,,296,88,,6,,6,,4,,,2,,,18,76,,100,34,276,,,54,424,,,4,,6,180,392,14,12,16,46,,,2,68,4,328,,20,72,10,,,6,,4,100,140,56,4,,2,,58,2,,,68
Nov-95,52,,,8,12,,32,,,334,140,820,122,,274,4,,236,30,4,818,,,,318,78,,8,,,,6,,,2,,,20,94,,124,38,224,6,,44,452,,,,,2,146,344,4,,8,42,,,,56,,322,,36,76,24,,,,,,52,46,34,2,,,,28,2,6,,20
Dec-95,36,,,6,18,,46,,,314,186,938,114,,294,2,,230,30,,754,,,,322,62,,4,,2,,2,,,2,,,18,94,,118,34,252,4,2,38,414,2,2,,,6,132,382,2,4,8,44,,,,50,8,334,,36,82,22,,,2,,,30,40,32,,,6,,18,,,,22
Jan-96,26,,,4,6,,36,,,290,110,710,102,,222,2,,134,18,,738,,,,252,74,,6,,4,,2,,,,,,4,54,,120,22,180,2,,64,352,,,,,2,112,336,8,4,6,26,,,,58,2,254,,20,64,26,,,4,,4,26,44,28,,,8,,22,2,,,14
Feb-96,34,2,,8,8,,30,,,262,88,756,94,,274,,,190,14,,604,,,2,222,58,,12,,8,,,,,2,,,10,66,,104,22,216,,,60,354,,2,2,,2,136,332,4,2,2,38,,,2,42,,250,,18,46,22,,,6,,,42,44,24,,,,,24,,2,,20
Mar-96,52,,,14,12,,24,,,276,106,804,92,,274,2,,192,14,,734,,,,244,92,,10,,8,,2,,,4,,,16,86,,88,26,210,,2,58,328,,,,,4,130,368,2,8,12,28,,,,68,4,306,,22,60,32,,,,,2,60,68,24,,,4,,26,2,,,26
Apr-96,44,2,,14,22,,30,,,302,102,858,100,,280,,,184,14,,756,,,,272,66,,4,,12,,4,,,,,,6,70,,120,24,194,,2,64,408,,,2,,4,126,346,6,8,12,24,,,2,40,8,312,2,32,72,30,6,,6,,,86,100,56,2,2,4,,60,,6,,48
May-96,50,,,6,8,2,30,,,294,126,834,94,,234,4,,236,18,,744,,,,280,62,,4,,4,,2,,,2,,,16,80,,80,18,192,,,74,378,,,,,,134,398,4,2,4,30,,,,64,,302,2,28,74,20,4,,4,,,134,142,56,,,2,,80,,,,72
Jun-96,56,,,14,10,,44,,,340,112,868,94,,276,2,,194,22,,764,,,,268,54,,2,,6,,2,,,6,,,8,78,,116,32,224,4,,70,368,,,,,,152,394,4,6,14,34,,,4,82,2,338,,28,76,26,,,6,,2,168,172,128,2,,6,,100,2,4,,84
Jul-96,36,2,,8,6,,38,,,316,122,858,114,,276,6,,186,16,,798,,,,260,86,,2,,8,,8,,,4,,,12,80,,108,12,178,2,,56,334,,2,,,,154,360,16,8,10,24,,,2,60,4,288,2,10,106,18,2,,4,,,100,170,84,2,,2,,68,2,,,82
Aug-96,48,4,,,8,,24,,,296,120,940,136,,264,6,,228,14,2,848,,,,292,78,,8,,10,,2,,,6,,,8,86,,112,28,256,2,,50,412,,,2,,,156,342,6,6,2,42,,,,72,2,318,,26,76,36,,,8,,2,172,168,86,,,8,,86,2,4,,92
Sep-96,34,,,8,8,,28,,,306,146,940,106,,272,,,212,14,,796,,,,290,70,,4,,10,,4,,,4,,,8,90,,112,20,208,,2,64,384,,,2,,2,142,414,2,4,8,36,,,4,48,,360,,30,66,26,,,6,,,116,160,72,,,4,,72,,,,64
Oct-96,58,2,,8,12,,38,,,330,130,1030,132,,270,2,,192,12,2,848,,,,350,78,,10,,,,2,,,8,,,12,82,,146,24,240,,,50,438,,,4,,2,164,424,8,8,16,36,,,,50,4,390,2,24,66,28,,,10,,2,100,124,48,,,4,,56,,2,,40
Nov-96,48,2,,6,16,,40,,,344,112,946,128,,290,2,,242,26,2,768,,,,348,76,,16,,8,,4,,,2,,,10,102,,122,30,230,2,,64,410,,2,,,,170,440,6,2,6,48,,,,60,6,320,,24,66,44,,,2,,,36,46,26,,,4,,12,,,,18
Dec-96,40,,,10,14,,36,,,390,120,898,122,,246,2,,246,24,,890,,,,350,60,,10,,6,,4,,,2,,,8,104,,122,22,278,,,56,446,,2,2,,,138,454,,6,6,44,,,,60,2,366,,48,68,30,,,,,,36,34,20,,,6,,8,2,2,,10
Jan-97,50,,,6,10,2,56,,,318,92,848,94,,234,,,206,18,,714,,,,250,50,,4,,6,,8,,,2,,,6,82,,112,10,208,6,,68,336,,,,,,122,376,2,4,4,60,,,2,58,4,276,,22,70,30,4,,,,,26,26,20,,,4,,8,2,,,18
Feb-97,32,2,,10,8,,20,,,266,82,714,86,,218,2,,178,20,,650,,,2,262,52,,18,,2,,8,,,,,,,66,,82,34,188,4,,72,284,,,,,6,82,234,6,4,6,42,,,2,54,2,294,,28,36,28,,,6,,,46,50,20,,,2,,18,,,,22
Mar-97,48,2,,4,12,,26,,,284,116,752,94,,242,4,,170,16,,688,,,,316,66,,10,,8,,2,,,,,,20,84,,110,20,178,2,,62,362,,,,,,122,300,2,4,4,32,,,2,58,,310,,20,62,18,,,8,,,74,64,44,,,4,,28,4,2,,40
Apr-97,34,,,8,4,,32,,,280,140,804,92,,230,2,,212,30,,698,,,2,272,50,,10,,2,,8,,,8,,,14,86,,102,26,174,6,,66,314,,,,,2,150,336,2,,6,36,,,,38,4,294,,14,34,30,,,2,,4,92,74,54,,,10,,56,,,,34
May-97,50,,,10,12,,32,,,318,146,870,98,,270,2,,222,16,4,868,,,,298,66,,8,,12,,18,,,8,,,14,72,,120,42,236,2,,70,346,,,,,2,150,372,6,2,4,56,,,2,56,8,342,,12,68,18,,,2,,8,108,148,60,,,4,,86,2,4,,62
Jun-97,50,,,6,4,,22,,,322,102,830,106,,252,,,190,18,2,776,,,,324,52,,10,,4,,2,,,10,,,8,96,,94,22,208,4,2,58,312,,4,,,,132,382,2,2,8,58,,,,70,4,344,,26,76,42,,,12,,,178,168,64,2,,4,,82,2,2,,90
Jul-97,38,2,,14,8,,32,,,326,124,874,124,,282,2,,200,22,2,828,,,2,322,64,,4,,2,,2,,,12,,,10,78,,128,24,214,,,40,384,2,,2,,,146,328,14,2,4,40,,,2,82,2,316,2,24,80,34,,,4,,2,154,194,64,,,8,,76,8,4,,68
Aug-97,48,,,8,4,,34,,,346,120,966,102,,256,,,230,12,,798,,,,334,62,,10,,4,,12,,,4,,,10,96,,100,22,248,6,4,76,390,,2,,,,118,384,8,6,8,42,,,,70,2,320,6,46,58,18,4,,4,,6,146,170,82,,,4,,76,8,,,78
Sep-97,26,,,2,4,,24,,,272,88,792,130,,246,,,184,24,,728,,,2,298,66,,6,,2,,8,,,10,,,14,84,,106,26,212,,2,64,340,,4,,,,120,350,2,6,12,30,,,,48,6,284,2,30,76,30,2,,6,,4,140,118,60,,2,4,,66,2,8,,54
Oct-97,42,,,10,,,42,,,304,118,962,106,,236,2,,226,12,2,846,,,,306,66,,10,,6,,8,,,2,,,10,92,,96,38,228,,2,70,404,,,4,,4,126,384,10,2,8,48,,,,84,2,330,2,36,58,42,2,,6,,2,126,112,66,,,4,,66,,2,,46
Nov-97,30,,,,14,,42,,,324,118,836,106,,238,4,,200,22,,796,,,,314,56,,6,,6,,10,,,6,,,20,98,,102,34,226,2,,64,350,,,,,,118,402,4,,2,58,,,2,68,10,316,,30,62,36,,,,2,,48,40,22,,,4,,30,4,4,,28
Dec-97,38,,,6,18,,36,,,358,162,930,112,,256,4,,212,20,,904,,,,296,64,,4,,10,,4,,,2,,,26,84,,114,36,236,,2,88,398,,2,2,,2,136,428,2,2,6,52,,,,80,,296,,24,74,18,,,,,,24,28,22,,,6,,24,2,,,20
Jan-98,46,,,2,4,,42,,,288,114,754,82,,248,2,,178,20,2,652,,,,260,56,,12,,4,,,,,6,,,6,90,,110,22,230,4,,68,278,,2,,,,124,330,4,14,6,44,,,,38,2,280,,16,46,28,,,2,,,36,18,12,,,4,,26,4,,,22
Feb-98,44,,,4,16,,30,,,256,98,664,82,,196,4,,190,24,,638,,,,248,60,,6,,6,,2,,,8,,,6,88,,86,26,206,2,,52,298,,,,,2,96,276,6,,4,34,,,,48,2,290,,16,56,20,4,,2,,,42,54,16,,,6,,8,,,,18
Mar-98,46,,,4,8,,26,,,246,136,716,76,,234,4,,178,16,,680,,,,244,50,,6,,4,,4,,,8,,,14,88,,84,30,214,,,74,318,,2,,,2,110,390,6,4,12,42,,,2,32,2,254,,18,58,34,2,,10,,,48,68,32,,,2,,28,,,,28
Apr-98,54,,,4,2,,36,,,250,106,688,74,,228,,,164,22,,706,,,,286,50,,4,,4,,16,,,2,,,12,80,,114,26,234,2,,50,304,,,,,,98,296,4,,6,48,,,,68,,292,,26,54,36,,,2,,4,102,96,60,,,6,,40,2,2,,40
May-98,42,2,,2,10,,34,,,312,112,792,134,,234,2,,188,14,,768,,,,286,68,,12,,4,,10,,,2,,,12,68,,98,28,188,,2,70,306,,,2,,2,116,362,,2,6,32,,,,48,,300,,24,76,24,4,,8,,,156,152,82,4,,12,,78,4,,,62
Jun-98,32,,,2,12,,20,,,316,112,778,110,,236,,,172,16,,712,,,2,280,58,,10,,4,,2,,,4,,,22,70,,94,32,210,2,2,68,342,,2,,,,116,368,4,4,18,60,,,,52,6,250,,12,48,20,,,4,,,130,142,90,,,10,,68,,10,,54
Jul-98,38,,,6,10,,44,,,304,136,824,132,,250,,,232,16,,796,,,2,318,84,,8,,4,,,,,14,,,8,116,,104,34,196,4,,70,328,,,,,,146,362,4,,6,54,,,,78,8,312,,18,54,24,,,8,,,166,202,120,,2,6,,126,6,4,,74
Aug-98,42,2,,2,12,,30,,,316,128,910,108,,264,,,186,18,,818,,,4,344,56,,10,,8,,2,,,10,,,16,104,,102,36,262,,,58,372,,2,,,,110,416,6,6,16,54,,,,62,4,328,,24,84,26,,,12,,2,204,142,114,2,,4,,96,6,4,,82
Sep-98,36,,,4,4,,36,,,286,116,828,88,,232,,,216,20,,738,,,6,342,52,,4,,8,,4,,,4,,,20,90,,86,28,198,10,,76,300,,,,,4,136,366,6,4,6,44,,,2,58,6,264,,16,66,38,,,2,,,144,164,66,2,,12,,62,4,6,,76
Oct-98,56,4,,,6,,42,,,284,100,818,136,,262,2,,200,18,,838,,,,330,64,,14,,4,,10,,,6,,,10,102,,130,46,230,2,,82,360,,,2,,,130,396,10,2,4,54,,,,44,6,282,,20,60,26,,,6,,4,128,110,72,2,,10,,48,,2,,48
Nov-98,48,,,4,10,,40,,,290,130,720,120,,234,4,,206,22,,754,,,,366,70,,12,,2,,,,,8,,,6,84,,132,38,230,,,68,356,,4,2,,,126,378,2,6,6,42,,,,56,4,344,,22,62,38,,,2,2,,78,58,34,,,16,,30,,2,,20
Dec-98,58,,,4,10,,34,,,354,120,946,100,,238,4,,202,32,,836,,,,306,76,,20,,8,,6,,,8,,,8,100,,146,34,226,,,70,328,,2,2,,,122,396,10,6,10,74,,,,44,,314,,18,94,34,2,,6,,,48,40,12,,,,,24,2,,,30
Jan-99,46,,,4,8,,30,,,250,82,644,56,,182,2,,164,14,,610,,,2,284,56,,6,,2,,2,,,12,,,22,84,,100,18,170,,,54,280,,2,2,,2,80,276,2,,8,64,,,2,48,2,256,,18,60,18,,,,2,2,32,34,8,,,4,,12,,,,20
Feb-99,30,,,2,8,,34,,,206,90,596,76,,186,2,,148,10,,594,,,,254,44,,10,,2,,2,,,14,,,24,84,,74,32,196,,,54,236,,,,,,72,308,,,6,44,,,,52,,256,,12,52,18,,,4,,,50,34,32,,,6,,22,2,,,30
Mar-99,42,,,4,8,,26,,,266,88,808,70,,218,,,170,4,,666,,,,276,36,,10,,6,,6,,,10,,,16,74,,108,10,196,,,56,300,,,,,,110,382,4,,8,52,,,,32,2,336,,2,44,18,,,,,,76,72,32,2,,8,,50,,,,38
Apr-99,42,2,,4,4,,28,,,240,100,700,90,,216,2,,194,12,,628,,,2,244,54,,4,,,,10,,,8,,,26,70,,72,14,208,,,72,300,,,2,,,106,294,6,,6,44,,,2,60,2,288,,12,58,22,4,,10,2,6,128,118,36,,,8,,52,2,2,,64
May-99,52,,,6,10,,32,,,322,102,776,62,2,234,2,,216,22,2,736,,,,318,70,,10,,4,,10,,,4,,,22,82,,106,20,176,,,80,360,,2,2,,2,120,410,2,2,10,78,,,,54,2,288,,24,72,22,,,2,,4,168,146,78,,,8,,90,2,,,64
Jun-99,48,,,6,2,,24,,,290,104,780,98,,250,2,,192,18,,722,,,2,266,52,,14,,2,,6,,,18,,,12,96,,118,28,218,,2,76,272,2,2,,,2,84,338,2,2,6,62,,,,54,2,268,2,18,64,26,,,8,,4,158,152,136,4,,14,,88,,10,,52
Jul-99,32,,,6,14,,44,,,278,118,748,102,,202,,,194,26,,768,,,,290,68,,6,,2,,6,,,8,,,24,106,,110,18,210,2,4,62,342,4,,,,,92,372,6,,6,60,,,4,46,6,284,,16,64,16,,,4,,4,188,180,98,,,24,,96,2,6,,104
Aug-99,44,,,6,12,,44,,,268,104,830,94,2,204,,,172,18,,754,,,,338,62,,16,,4,,10,,,14,,,18,106,,140,22,194,,4,70,368,,,,,,132,414,10,,2,76,,,,50,2,300,,18,48,22,,,8,,2,196,176,110,,,10,,88,2,,,108
Sep-99,56,,,4,2,,42,,,292,146,704,132,,230,6,,218,16,,716,,,,298,72,,4,,4,,2,,,8,,,12,84,,88,20,238,2,2,68,276,,2,,,,104,346,4,,8,62,,,,30,,342,,14,54,20,,,4,,6,192,144,68,,,8,,66,6,,,88
Oct-99,48,,,6,10,,50,,,326,112,816,102,,256,2,,204,20,,860,,,,356,62,,12,,,,8,,,20,,,24,90,,90,28,228,,,54,284,2,,,,,120,372,10,,10,58,,,4,38,4,328,,14,74,24,,,10,,,160,120,52,,,12,,64,2,2,,46
Nov-99,50,,,2,10,,44,,,278,120,848,120,4,264,,,194,16,,758,,,2,364,68,,16,,12,,12,,,6,,,10,86,,106,32,244,2,,68,320,,2,,,,104,380,8,4,,60,,,,36,4,302,,8,60,28,,,2,,2,82,70,28,,,6,,34,2,8,,36
Dec-99,66,,,6,6,,50,,,290,84,858,92,,272,2,,252,14,2,866,,,,386,66,,14,,6,,4,,,16,,,26,80,,94,24,204,,,92,306,,,2,,,132,376,8,,4,68,,,,52,,298,,18,64,36,,,2,,,44,34,12,,,6,,22,,,,16
Jan-00,35,,,,5,,18,,,132,44,342,40,,90,,,91,8,,312,,,,135,19,,4,,,,3,,,11,,,14,32,,52,17,80,,,34,150,,,2,,,50,155,3,,3,30,,,,26,,137,,4,39,10,2,,1,,,23,21,12,1,,2,,12,,,,8
Feb-00,22,1,,2,2,,16,,,121,34,294,50,,96,,,81,6,1,319,,,,147,25,,7,,1,,1,,,2,,,4,39,,40,10,81,,,39,116,,,,,,33,143,1,,2,27,,,1,18,3,108,,3,23,11,,,,,,22,28,12,,,3,,10,1,,,14
Mar-00,23,,,2,3,,11,,,122,49,345,47,,105,,,79,4,1,316,,,,145,27,,6,,1,,2,,,6,,,9,42,,64,13,76,,,34,143,,,,,,48,156,2,2,10,33,,,,18,5,136,,4,24,6,,,3,,1,74,38,22,1,,3,,30,1,,,26
Apr-00,21,,,4,7,,20,,,137,35,357,46,,109,2,,113,3,,354,,,1,185,25,,5,,2,,1,,,9,,,10,51,,50,18,97,,,44,137,,1,,,,45,169,,,3,39,,,,29,5,156,,5,25,12,,,4,,1,84,62,28,,,4,,33,1,,,31
May-00,32,,,1,6,,17,,,141,60,321,41,,82,,,103,8,,321,,,1,173,27,,3,,2,,2,,,11,,,6,40,,52,20,107,,,50,161,,,1,,1,51,167,3,,2,35,,,,24,5,152,,9,41,15,1,,2,,1,102,73,52,1,,5,,46,1,2,,44
Jun-00,40,,,2,5,,22,,,145,47,359,62,,110,,,85,7,,328,,,,164,35,,7,,1,,3,,,10,,,13,36,,55,19,89,,,38,143,1,,1,,1,47,187,1,,1,37,,,3,12,2,149,,8,32,12,,,3,,2,107,103,54,,,10,,60,6,4,,51
Jul-00,42,1,,2,5,,17,,,140,51,409,57,,123,2,,92,9,,386,,,1,168,29,,7,,6,,3,,,5,,,10,52,,58,10,119,1,,53,149,,,,,1,36,177,4,,5,47,,,,19,2,168,,7,39,10,,,,1,1,121,105,53,,,10,,55,3,3,,49
Aug-00,29,,,,4,,21,,,160,62,370,52,2,126,1,,97,9,,371,,,,171,33,,7,,,,6,,,6,,,17,37,,63,21,83,,,40,156,,1,,,,55,173,2,,3,24,,,,23,4,153,,6,24,15,,,4,,3,144,95,61,,1,7,,56,2,5,,50
Sep-00,31,,,2,2,,17,,,125,68,369,51,2,112,,,89,9,,378,,,,157,32,,4,,2,,5,,,11,,,8,46,,57,16,107,,1,52,131,,,2,,,60,186,3,,5,37,,,1,30,2,161,,8,30,15,,,6,,2,114,71,43,,,11,,49,2,2,,47
Oct-00,40,,,1,4,,19,,,131,66,376,67,3,101,,,103,6,,368,,,2,199,42,,6,,,,5,,,13,,,4,50,,60,7,131,,,39,148,1,,,,,59,181,5,2,3,44,,,,29,1,169,,13,27,15,,,2,,1,83,52,31,,,4,1,33,5,,,39
Nov-00,25,,,1,3,,22,,,133,51,364,56,2,93,,,103,9,1,313,,,,179,29,,5,,1,,3,,,7,,,12,51,,56,14,104,1,,48,135,,1,,,,52,186,2,,3,39,,,,22,3,175,,10,39,9,,,1,,1,49,17,13,,,8,,14,,,,16
Dec-00,30,,,1,4,1,22,,,150,50,341,51,4,101,,,109,10,,373,,,,186,29,,5,,1,,3,,,8,,,9,40,,59,19,101,1,,30,127,,1,,,,40,146,6,,8,50,,,,36,3,168,,16,26,13,,,3,,,12,20,15,,,4,,12,,2,,14
1-Jan,25,,,3,2,,17,,,109,58,306,49,3,91,,,64,13,,306,,,,148,30,,7,,,,4,,,8,,,10,40,,58,11,87,,,40,131,,,,,,47,158,5,,2,23,,,,24,1,135,,10,26,16,,,2,,,16,25,5,,,4,,8,1,1,,11
1-Feb,25,,,1,4,,24,,,113,46,292,36,1,110,,,68,9,,279,,,,153,14,,7,,1,,4,,,9,,,14,26,,40,9,92,2,,32,121,,,,,,28,145,2,,5,38,,,,23,,149,,12,29,12,,,,,1,25,27,14,,,4,,15,,,,11
1-Mar,24,1,,,5,,20,,,115,51,322,45,3,101,2,,99,8,,316,,,,149,32,,13,,,,3,,,9,,,13,44,,50,13,99,,,44,101,,1,,,,46,141,2,,2,26,,,2,30,2,148,2,8,27,12,,,4,,2,49,30,21,,,4,,27,,2,,17
1-Apr,35,,,1,4,,16,,,116,46,353,44,2,118,2,,87,10,,323,,,,152,28,,8,,3,,2,,,10,,,10,52,,45,16,92,,,36,115,,,1,,,37,145,5,,1,38,,,,25,4,166,,10,20,15,1,,3,,4,97,58,35,,,11,,42,1,3,,54
1-May,33,,,3,10,,14,,,126,52,316,40,4,112,,,108,9,,352,,,,187,32,1,14,,,,3,,,13,,,14,47,,53,11,109,1,1,54,128,1,1,,,,40,158,3,1,4,29,,,,24,3,158,,9,17,11,,,4,,2,89,82,47,,,10,,59,1,2,,61
1-Jun,34,,,2,4,,19,,,127,48,345,56,,92,,,99,7,1,309,,,,164,29,,4,,1,,,,,18,,,11,39,,51,22,106,1,1,37,121,,1,,,,48,164,2,,2,30,,,,33,3,158,,10,35,12,,,4,,1,124,92,55,,,13,,45,5,6,,57
1-Jul,29,,,2,3,,17,,,142,51,379,47,5,105,,,91,9,,367,,,,197,28,,5,,1,,5,,,11,,,11,45,,47,17,107,1,1,40,126,,,,,,53,172,2,,2,46,,,,20,,167,,5,31,11,,,7,,1,122,109,56,1,,10,,73,5,3,,54
1-Aug,46,,,,6,,15,,,133,56,366,52,3,112,1,,116,13,,361,,,,169,35,,10,,,,5,,,16,,,13,41,,52,12,108,,,42,133,,2,,,,35,179,1,,6,47,,,,27,4,191,,17,30,16,,,4,,,126,102,56,1,,15,,68,4,2,,47
1-Sep,40,,,,6,1,16,,,137,49,337,54,1,76,1,,100,14,,353,,,,161,30,,12,,1,,1,,,7,,,12,43,,50,18,87,1,,46,149,,,,,,46,169,1,,,34,,,,21,1,158,,5,26,11,,,4,,3,121,90,39,,,13,,66,2,5,,45
1-Oct,41,,,3,7,,22,,,158,47,335,68,1,114,1,,105,11,,353,,,,209,45,,19,,1,,2,,,11,,,15,55,,50,18,118,1,,43,127,,,,,,46,202,2,,4,38,,,,23,2,164,,11,31,21,,,5,,1,85,57,34,,,9,,31,4,3,,42
1-Nov,35,,,2,4,,22,,,131,50,341,49,4,98,,,105,4,,388,,,1,188,32,,11,,3,,2,,,7,,,13,42,,55,18,83,,,47,138,,,,,,61,181,2,1,5,50,,,,32,2,166,,8,43,16,,,2,,,64,47,28,,,6,,32,1,1,,19
1-Dec,46,,,2,5,,22,,,126,59,373,63,4,106,,,105,13,,388,,,1,209,37,,5,,2,,4,,,15,,,16,55,,66,17,99,,,41,133,,,1,,1,59,157,,,3,48,,,,31,4,187,,4,35,19,,,4,,,34,40,15,,,6,,18,2,2,,21
2-Jan,27,2,,1,5,,16,,,138,51,338,45,1,89,,,90,8,,328,,,,185,30,,7,,,,8,,,16,,,6,41,,56,13,101,,,38,124,,,1,,,51,155,7,,4,43,,,1,24,3,151,,9,33,10,,,2,,,30,23,12,,,4,,15,,,,16
2-Feb,31,,,,2,,22,,,93,55,296,45,2,90,,,82,11,,279,,,,153,29,,7,,,,3,,,3,,,9,36,,38,13,82,,1,46,103,,,,,,44,150,4,,2,35,,,,17,3,153,,5,20,10,,,2,,,46,24,17,,,6,,20,2,,,10
2-Mar,42,1,,1,4,,19,,,103,52,332,48,6,110,2,,90,18,,336,,,2,195,39,,3,,2,,1,,,12,,,12,46,,71,11,82,,1,52,121,,,,,,44,145,2,,3,32,,,2,29,2,158,,7,32,14,,,1,,1,62,40,20,1,,10,,16,1,,,32
2-Apr,28,,,,3,,18,,,116,51,317,54,4,84,,,87,6,,357,,,,170,28,,8,,,,3,,,7,,,13,37,,45,14,74,1,,50,105,,1,,,,53,163,2,,5,35,,,,8,4,140,1,10,27,13,,,4,,1,91,56,38,,,7,,30,1,1,,30
2-May,26,1,,2,5,,16,,,145,35,314,59,8,107,,,114,9,,354,,,,181,35,,3,,,,5,,,13,,,11,38,,62,14,105,,,51,115,,,1,,,31,145,5,,8,45,,,,16,4,164,1,13,37,18,1,,5,,,112,97,45,2,,10,,49,3,1,,50
2-Jun,35,,,,7,,16,,,119,52,304,64,2,111,1,,106,10,,324,,,,177,37,,5,,1,,3,,,12,,,12,44,,43,16,112,,,47,112,,1,,,,46,175,4,,2,49,,,,24,1,153,1,21,30,12,,,4,,1,151,112,48,,,9,,64,4,4,,54
2-Jul,26,,,1,3,,23,,,124,55,343,46,6,100,,,96,11,,354,,,1,187,32,,6,,2,,5,,,18,,,9,39,,56,24,105,1,1,55,123,,1,,,,42,166,1,,6,52,,,,17,4,158,1,15,41,13,,,6,,3,135,103,38,,,15,,63,1,3,,64
2-Aug,35,,,,6,,19,,,132,65,316,54,3,106,,,121,7,,324,,,,201,30,,14,,,,1,,,15,,,15,34,,46,14,78,,,61,112,,,1,,,49,157,9,,1,37,,,,17,3,167,,5,43,12,,,2,,,169,117,54,,,9,,69,4,2,,56
2-Sep,32,,,2,2,,24,,,129,49,352,65,3,98,,,95,5,,301,,,,174,34,,10,,1,,5,,,12,,,13,51,,60,13,82,,,47,126,,,,,1,45,190,3,,5,41,,,,27,2,176,,6,38,11,,,4,,5,140,94,49,1,,15,,65,3,4,,51
2-Oct,40,,,2,2,,24,,,156,39,335,57,3,112,,,115,8,,360,,,1,159,33,,6,,,,5,,,13,,,20,51,,61,12,103,,,67,120,,,,,,49,150,1,1,7,42,,,,17,1,162,,12,44,16,,,1,,4,79,54,28,,,5,,39,1,1,,37
2-Nov,38,,,,5,,17,,,136,45,343,49,4,92,,,105,4,,302,,,,177,33,,11,,,,1,,,16,,,9,42,,53,15,87,,,53,128,,1,,,,39,184,2,,8,51,,,,16,4,183,,11,32,17,,,1,,2,53,45,21,,,6,,22,2,1,,25
2-Dec,30,,,1,9,,20,,,128,60,348,57,6,100,1,,102,4,1,326,,,,174,40,,7,,1,,6,,,16,,,23,37,,57,18,84,1,1,50,117,,1,,,,50,185,1,,3,44,,,,29,3,183,,14,28,17,,,1,,,29,19,15,,,7,,11,2,2,,7
