"Title:","Revenue by Sport from the College Athletics Database"
"SubTitle:","Variable: Per Team for Men and Women"
"Time:","2006 - 2020"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Clinton Community College",,,,,,,,,,,,,,,75962,,,,,47930,,,,,,,,72762,,,,,71363,,,,,,,,80800,,,,,64433,,,,,,,,66880,,,,,48846,23190,,,,,,,50550,,,,,34398,13950,,,,,,14450,52400,,,,,33900,14450,,,,,,14250,25300,,,,,32429,14250,,,,,,14090,50600,,,,,32250,14090,,,,,,13840,49700,,,,,30650,13840,,,,,,13480,47840,,,,,29130,13480,,,,,,13030,43579,,,,,27180,13030,,,,,
"College of Alameda",,,,,,,,,,,,,,,30901,,,,,,,,,,23680,,,25957,,,,,,,,,,21749,,,24902,,,,,,,,,,23243,,,60443,,,,,,,,,,,,,62862,,,,,,,,,,52076,,,62482,,,,,,,,,,51205,,,62850,,,,,,,,,,52488,,,67784,,,,,,,,,,49839,,,67012,,,,,,,,,,49606,,,70136,,,,,,,,,,48474,,,74136,,,,,,,,,,51353,
"Columbia College",,,,,,,,,,,,,,,109268,,,,,,,,,,56305,,,111705,,,,,,,,,,99876,,,69879,,,,,,,,,,51083,,,58258,,,,,,,,,,53917,,,53951,,,,,,,,,,45969,,,66700,,,,,,,,,,46105,,,77857,,,,,,,,,,69044,,,109145,,,,,,,,,,63669,,,122098,,,,,,,,,,78832,,,51084,,,,,,,,,,54349,,,83265,,,,,,,,,,77572,
"Columbus State Community College",,,,,,,,,,,,,,,125823,,,10509,,,,,,,69545,,,118116,,,51204,,,,,,,54778,,,120934,,,46998,,,,,,,64222,,,118448,,,67843,,,,,,,61661,,,276986,,,101223,,,,,,,131112,,,298043,,,118192,,,,,,,157154,,,286284,,,79645,,,,,,,108172,,,286745,,,85244,,,,,,,126743,,,304923,,,119265,,,,,,,132565,,,320058,,,91134,,,,,,,118450,,,292600,,,53589,,,,,,,131075,
"Community College of Beaver County",,,,,,,,,,,,,,,200211,,,,,,,,,,61111,,,138104,,,,,,,,,,60232,,,140552,,,,,,,,,,48999,,,109245,,,,,,50445,,,,41877,,,94102,,,,,,35784,,,,51088,,,,,,,,,37410,,,,24648,,,121846,,,,,,46395,,,,30107,,,105817,,,,,,33759,,,,30496,,,104647,,,,,,24914,,,,30580,,,94738,,,,,,42289,,,,27603,,,91356,,,8751,,,34333,,,,24420,
"Community College of Philadelphia",,,,,,,,,,,,,,,63547,,,,,,,,,31847,12876,,,85041,,,,,,,,,47981,16433,,,81019,,,,,,,,,39681,14372,,,75077,,,,,,,,,47226,13939,,,83380,,,,,,,,14757,46656,10117,,,86158,,,,,11286,,,9371,33649,14086,,,76103,,,,,19260,,,8789,44822,14263,,21853,73755,,,,,13465,,,6793,48556,10632,,19116,73843,,,,,27197,,,16344,50581,12784,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CUNY Brooklyn College",,,,,,,,,,,,,,,106804,,,,,65850,,,15319,,47455,,,106958,,,,,82513,42686,,44850,,62362,,,98565,,,,,65575,31704,42750,38020,,60389,,,106238,,,,,83474,40599,44043,31647,,62893,,,105469,,,,,79437,28019,53987,30096,,68411,,,88192,,,,,64009,37100,34882,29876,,56537,,,87039,,,,,70492,38274,,31396,,58098,,,75679,,,,,56348,33726,22739,16656,,42502,,,79854,,,,,25321,26686,24355,21117,,45334,,,86773,,,,,31355,35550,29684,29306,,51996,,,92231,,,,,25193,27375,,14592,,34259,
"Johnson C Smith University",,,,,,,,,,,,,,,860699,,1016097,42295,,,105544,,142970,,213029,,,1154475,,1099678,208227,,,254675,,454097,823807,263509,,,984053,,1225618,177818,,,254380,,416110,666715,261512,,,929535,,1045249,64386,,,124095,,178531,555642,100679,,,800706,,978380,49275,,,114040,,157503,529951,120669,,,976630,,1122655,64721,,,124095,,179969,560642,105353,,,971566,,1139029,62310,,,108779,,176641,622563,114212,,,995018,,1323832,68705,,,143672,,189538,622061,115764,,,951886,,1093690,70808,,,104681,,180033,536003,108679,,,758591,,1052662,29032,,,104039,,149097,439484,94902,,,755853,,1083117,48757,,,92262,,129091,340508,83751,
"Lake Superior College",,,,,,,,,,,,,,,59392,,,,,52685,,,,,,,,98442,,,,,101150,,,,,,,,,,,,,81688,,,,,,,,,,,,,101045,,,,,,,,,,,,,54942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Judson College",,,,,,,,,,,,,,,144392,,,,,149828,182196,,,,117181,,,164763,,,,,117639,196860,,,,113774,,,,,,,,,,,,,,,,95523,,,,,127840,208012,,,,127336,,,52675,,,,,98291,165600,,,,80963,,,73044,,,,,120691,129224,,24025,,108649,,,77252,,,,,123573,128784,,10243,,85591,,,105316,,,,,125223,156458,,9361,,93771,,,75515,,,,,152433,138040,,27394,,59970,,,80330,,,,,112987,106466,,33593,,57998,,,88524,,,,,113115,105500,,22842,,63293,
"Pennsylvania State University-Penn State Scranton",,,,,,,,,,,,,,,75413,,,18104,,51460,,,,,23042,,18154,63852,,,,,30552,15393,,,,17508,,13219,59674,,,,,,15996,,,,17757,,22320,56432,,,,,34102,12710,,,,16035,,15169,53018,,,,,22078,19928,,,,17866,,26365,44276,,,,,15831,20169,,,,11551,,17431,34968,,,,,18645,12104,,,,12801,,18152,32522,,,,,13738,11695,,,,8522,,18152,32022,,,,,13738,11495,,,,8122,,16208,17620,,,,,13865,12645,,,,9405,,16157,27212,,,,,12884,11731,,,,9603,
"Pennsylvania State University-Penn State Shenango",,,,,,,,,,,,,,,78683,,,,,,,,,,53180,,,95175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250,,,,,,,,,,,,,,,,,,,,,
"Pennsylvania State University-Penn State Wilkes-Barre",,,,,,,,,,,,,,,54683,,,,,,,,,,6737,,17875,38474,,,4887,,,,,,,8721,,14125,37753,,,7829,,,,,,,9973,,11062,33327,,,8075,,,9152,,,,7970,,14902,39802,,,6566,,,,,,,9882,,19441,38800,,,8552,,,,,,,10819,,20269,36175,,,6258,,13843,,,,,9183,,15170,38880,,,7143,,,,,,,8791,,16672,42962,,,7330,,,,,,,10748,,18182,40432,,,7563,,11120,,,,,11214,,15842,42834,,,7955,,8906,,,,,8821,
"Pennsylvania State University-Penn State York",,,,,,,,,,,,,,,63015,,,13162,,22045,,,,,21033,,36631,59494,,,12622,,21483,,,,,23308,,40728,68688,,,,,27648,20873,,,,25549,,29053,66218,,,,,32498,,,,,,,30211,68745,,,,,19825,,,,,14560,,21540,39883,,,,,15279,,,,,13554,,18345,45938,,,,,17650,,,,,12080,,18246,45936,,,,,17757,,,,,12182,,18748,41924,,,,,15577,,,,,10463,,18470,39505,,,,,20390,,,,,13260,,19175,32822,,,,,15207,,,6852,,11695,
"Portland Community College",,,,,,,,,,,,,,,155692,,,,,163156,,,,,,,,134216,,,,,169489,,,,,,,,143059,,,,,181644,,,,,,,,119778,,,,,126927,,,,,,,,143417,,,,,152763,,,,,,,,120358,,,,,,,,,,,,,142736,,,,,,,,,,,,,113958,,,,,,,,,,,,,101210,,,,,,,,,,,,,98162,,,,,,,,,,,,,100355,,,,,,,,,,,
"Pratt Institute-Main",,,,,,,,,,,,,,,101139,,,,,72043,,,40582,84450,63455,,,89094,,,,,85151,,,32510,82994,86594,,,150014,,,,,99963,,,27619,77895,48377,,,140797,,,,,110309,,,28812,97608,54130,,,45953,,,,,,,,22368,,37625,,,33038,,,,,,,,31362,,33330,,,71922,,,,,,,,44150,,44824,,,35526,,,,,,,,43539,,23330,,,26110,,,,,,,,32674,66466,19498,,,25114,,,,,,,,26804,,17875,,,16292,,,,,,,,18272,,10599,
"Quincy College",,,,,,,,,,,,,,,43790,,,,,29053,,,,,,,,57931,,,,,27076,,,,,,,,46870,,,,,19978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quinsigamond Community College",,,,,,,,,,,,,,,43949,,,,,42530,,,,,20234,,39115,51997,,,,,18921,,,,,,,41554,53768,,,,,19958,,,,,,,42835,55430,,,,,20575,,,,,,,40554,65575,,,,,,,,,,,,40713,65862,,,,,,,,,,,,40713,65862,,,,,,27871,,,,,,40713,65862,,,,,,,,,,,,39423,65270,,,,,,,,,,,,39423,65270,,,,,,28655,,,,,,37423,62722,,,,,,26155,,,,,
"Regis College",,,,,,,,,,,,,,,185748,54620,,,,152367,70968,45431,81780,,83278,,,195980,41139,,,,167429,75361,60476,89022,,115641,,,191073,45068,,,,159924,43113,46414,89087,,104740,,,233947,48914,,,,161566,55104,40914,77926,,86448,,,201499,50268,,,,100490,55793,,75170,,94672,,,209865,53958,,,,136989,48760,,80440,,96255,,,189652,51955,,,,119382,52480,,77804,,97434,,,203848,66069,,,,111129,74545,,73122,,92504,,,226839,55853,,,,111339,52387,87365,76253,,87085,,,300955,57187,,,,115040,72566,117787,83014,,98234,,,252925,82267,,,,133470,86247,,48440,,111107,
"Richard Bland College",,,,,,,,,,,,,,,206501,,,,,392992,140488,,,,178773,,,339202,,,18260,,315131,152314,,,,192292,,,297490,,,44292,,359943,184530,,,,73156,,,233101,,,104223,,82932,142072,,,,,,,157861,,,58474,,105430,108123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ridgewater College",,,,,,,,,,,,,,,81079,,,,,,,,,,28210,37613,29423,62258,,63224,,,,36994,,,,27258,33023,39230,60756,,57227,,,,27006,,,,45137,30443,37108,69727,,58465,,,,23975,,,,50277,36352,56111,63535,,64032,,,,39049,,,,49096,43402,44164,59857,,56612,,,,37332,,,,42390,33638,52935,63379,,60144,,,,40718,,,,44701,35626,37944,55895,,56071,,,,32399,,,,31538,35546,51009,67487,,56229,,,,37418,,,,43452,37001,54138,62583,,68864,13207,,,36257,,,,48490,37103,29159,54397,,52350,19846,,,26325,,,,30033,29250
"Roxbury Community College",,,,,,,,,,,,,,,72706,,,,,35385,,,,,,,,95249,,,,,25748,,,,,,,,138063,,,,,,,,,,,,,114558,,,,,,,,,,,,,98855,,,,,12872,,,,,,,,93233,,,,,,,,,,,,,88949,,,,,20503,,,,,,,,109849,,,,,,,,,,,,20125,102650,,,,,17260,,,,,,,24000,68150,,,,,19650,,,,,,,15400,58352,,,,,12023,,,,,,
"Saint Augustine's University",,,,,,,,,,,,,,,466137,,586005,2629,,,,,,,115082,,,424099,,485443,91752,,,160873,,,1001472,102809,,205440,374732,,679372,51915,,,120335,,,727918,91520,,220704,459381,,739275,81371,,,100804,,,563676,58637,,206405,582324,,956055,37164,,,167216,,,,135193,,207705,580212,,904055,37164,,,156076,,,,135193,,293208,854539,,1509618,,,,187605,,,814245,144535,,343623,951988,,1694821,86754,,,172212,,36401,774328,189285,,322442,928058,,1599111,113580,,,142805,,55773,746879,169755,,290798,712994,,1214664,78425,,,135420,,56457,629965,108693,,216949,680469,,1099323,66008,,,115255,,48204,577744,121177,
"Salem College",,,,,,,,,,,,,,,63579,,,,,75873,49545,,10579,,61538,,,47730,,,,,71291,63181,,16162,,39873,,,38903,,,,,64203,75619,,14034,,24296,,,55566,,,,,76322,72703,,17389,,32892,,,45149,,,,,76245,56712,,18478,,27374,,,38547,,,,,40383,32441,,12999,,19760,,,36604,,,,,41810,29579,,11697,,18651,,,56584,,,,,87929,49136,,23706,56023,40653,,,46496,,,,,58720,61079,,36073,35799,41731,,,23255,,,,,37974,,,11231,16777,26391,,,26008,,,,,45289,,,11391,,17069,
"Salish Kootenai College",,,,,,,,,,,,,,,58315,,,,,,,,,,,,,58084,,,,,,,,,,,,,73059,,,,,,,,,,,,,67797,,,,,,,,,,,,,96311,,,,,,,,,,,,,98118,,,,,,,,,,,,,75010,,,,,,,,,,,,,83734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego Miramar College",,,,,,,,,,,,,,,108327,,,,,50449,,,,,111194,,,102495,,,,,54018,,,,,113070,,,90616,,,,,48131,,,,,56842,,,94880,,,,,51192,,,,,54148,,,86575,,,,,63950,,,,,52577,,,76570,,,,,66766,,,,,59267,,,51658,,,,,65764,,,,,,,,28532,,,,,36040,,,,,,,,44801,,,,,50706,,,,,,,,49083,,,,,53920,,,,,,,,19855,,,,,23563,,,,,,
"South Puget Sound Community College",,,,,,,,,,,,,,,214642,,,,,124330,,,,,106733,,,248669,,,,,115818,,,,,115782,,,147270,,,,,57990,,,,,72562,,,183889,,,,,50386,,,,,46427,,,119944,,,,,39034,,,,,,,,100340,,,,,47278,36562,,,,,,,76289,,,,,35050,39050,,,,,,,64957,,,,,32550,36950,,,,,,,63454,,,,,37100,,,,,,,,69768,,,,,37975,41791,,,,,,,67813,,,,,23000,32061,,,,,
"Pennsylvania State University-Penn State Lehigh Valley",,,,,,,,,,,,,,,83682,,,,,35806,,,,,14959,,,101087,,,8868,,38645,,,,,19350,,,77816,,,9530,,,,,,,18216,,,78159,,,10278,,,,,,,22302,,,89405,,,8818,,,,,,,13417,,,97896,,,6044,,,,,,,9163,,,72732,,,3041,,,,,,,,,,27742,,,,,,,,,,,,,30322,,,4266,,,,,,,,,,,,,7206,,,,,,,,,,,,,8268,,,,,,,,
"American University of Puerto Rico",,,,,,,,,,,,,,,103244,,,,,,,,,,47450,,,130752,,,,,,,,,,64204,,,,,,,,,,,,,,,,113290,,,,,,,,,,79682,,,173874,,,,,,,,,,96799,,,92230,,,,,,,,,,59560,,,134855,,,,,,,,,,92952,,,222625,,,,,,,,,,56536,,,158179,,,,,,,,,17847,52697,,,114311,,,,,,,,,53689,65446,,,172972,,,,,,,,,63115,103408,
"Passaic County Community College",,,,,,,,,,,,,,,66936,,,,,,,,,,,,,73423,,,,,,,,,,34656,,,56654,,,,,23159,,,,,22434,,,75009,,,,,29635,,,,,,,,57420,,,,,22280,,,,,24749,,,65197,,,,,,,,,,23312,,,63431,,,,,23605,,,,,24911,,,65335,,,,,24865,,,,,22520,,,68049,,,,,29292,,,,,25195,,,68139,,,,,29835,,,,,27058,,,67634,,,,,26157,,,,,24033,
"Onondaga Community College",,,,,,,,,,,,,,,152537,,,,,70810,37567,,16535,,25981,,73160,179683,,,28914,,87000,87919,,70009,,41473,,89568,172838,,,36773,,103484,56921,,71740,,48823,,90009,206809,,,32128,,109817,101340,,77913,,38669,,100533,181872,,,37050,,75541,81497,,97400,,46660,,80741,198118,,,42033,,80402,59530,,96390,,48155,,111163,232991,,,26479,,75170,40083,,91176,,48556,,120334,218951,,,37580,,70879,45648,,99139,,47936,,92643,251850,,,37957,,78833,32536,,103080,,42953,,76171,159406,,,32519,,71497,36961,,82004,,43727,,57539,159005,,,,,72527,35916,,92678,,31354,
"Lee College",,,,,,,,,,,,,,,2260,,,,,,,,,,2478,,,347679,,,,,,,,,,297296,,,413648,,,,,,,,,,292859,,,426812,,,,,,,,,,321890,,,360487,,,,,,,,,,283079,,,341742,,,,,,,,,,241986,,,301457,,,,,,,,,,233427,,,255209,,,,,,,,,,192420,,,246961,,,,,,,,,,201577,,,219793,,,,,,,,144276,,156532,,,263916,,,,,,,,145037,,181841,
"Leech Lake Tribal College",,,,,,,,,,,,,,,76535,,,,,,,,,,,,,47787,,,,,,,,,,,,,79043,,,,,,,,,,,,,72967,,,,,,,,,,,,,111886,,,,,,,,,,,,,67535,,,,,,,,,,,,,79291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Little Priest Tribal College",,,,,,,,,,,,,,,173194,,,,,,,,,,,,,180958,,,,,,,,,,,,,178005,,,,,,,,,,,,,128108,,,,,,,,,,,,,60298,,,,,,,,,,,,,58057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles Southwest College",,,,,,,,,,,,,,,160924,,120153,,,,,,,,,,,186133,,121433,,,,,,,,,,,133140,,161301,,,,,,,,,,,116927,,160001,,,,,,,,,,,115889,,158481,,,,,,,,,,,115889,,158481,,,,,,,,,,,100000,,130000,,,,,,,,,,,89377,,153854,,,,,,,,,,,257797,,117303,,,,,,,,,,,116999,,100980,,,,,,,,,,,96534,,69610,,,,,,,,,
"Los Angeles Trade Technical College",,,,,,,,,,,,,,,122176,,,,,,,,,,,,,215674,,,,,,,,,,32861,,,107747,,,,,,,,,,107746,,,254714,,,,,,,,,,102159,,,118238,,,,,,,,,,81035,,,69433,,,,,,,,,,21514,,,117747,,,,,,,37000,,,55998,,,105674,,,,,,,62362,,,28205,,,118416,,,,,,,64221,,,30756,,,120278,,,,,,,,,,35139,,,93708,,,,,,,73708,,,26854,
"Luzerne County Community College",,,,,,,,,,,,,,,110917,,,,,,,,,,44276,,,108974,,,,,,,,,,43842,,38310,68210,,,,,,21530,,,,16318,,45300,69800,,,,,,22000,,,,20750,,32800,78150,,,7750,,,22900,,,,18170,,25191,50300,,,9462,,,17178,,,,17000,,38400,62736,,,5000,,,21815,,,,19803,,35400,60600,,,10000,,,28000,,,,17000,,27157,47852,,,6442,,,15331,,,,11691,,29221,52781,,,7432,,,14031,,,,11583,,35000,45583,,,5140,,,11446,,,,13828,
"Massachusetts Bay Community College",,,,,,,,,,,,,,,45333,,,5720,,17513,,,,,24341,,,51440,,,10350,,25598,,,,,16646,,29470,45383,,,12080,,18616,,,,,9062,,19560,34913,,,5697,,22221,,,,,,,25324,46123,,,10743,,20470,,,,,,,15930,53472,,,10225,,25060,,,,,,,21967,53223,,,10969,,23888,,,,,,,21770,58030,,,7428,,38403,,,,,,,20832,45020,,,4768,,43380,,,,,,,33424,59302,,,,,32230,,,,,,,20232,44098,,,,,33763,8792,,,,,
"Merritt College",,,,,,,,,,,,,,,139037,,,,,89607,,,,76590,,,,116772,,,,,76053,,,,79940,,,,101637,,,,,43637,,,,34266,,,,72770,,,,,43344,,,,46606,,,,49945,,,,,62358,,,,43142,,,,67530,,,,,32712,,,,41930,,,,114028,,,,,31345,,,,59901,,,,78574,,,,,31431,,,,56525,,,,54668,,,,,22543,,,,26245,,,,81685,,,,,33230,,,,57050,,,,80104,,,,,41055,,,,43207,,
"Johnston Community College",,,,,,,,,,,,,,,71581,,,7523,,,,,,,,,,84756,,,32549,,,,,,,,,,76065,,,19231,,,,,,,,,,64097,,,39053,,,,,,,,,,,,,42580,,,,,,,,,,,,,54424,,,,,,,,,,,,,58046,,,,,,,,,,40697,,,39282,,,,,,,15575,,,39382,,,18620,,,,,,,21551,,,31600,,,23475,,,,,,,20370,,,27759,,,15344,,,,,,,26571,
"MiraCosta College",,,,,,,,,,,,,,,104690,,,,,97766,,,,,43319,,,93802,,,,,91159,,,,,50252,,,97069,,,,,85982,,,,,49108,,,99085,,,,,87972,,,,,43962,,,91088,,,,,85478,,,,,35431,,,61523,,,,,59026,,,,,27115,,,84726,,,,,72052,,,,,,,,88466,,,,,81971,,,,,,,,94674,,,,,31528,,,,,,,,86082,,,,,89201,,,,,,,,77045,,,,,65822,,,,,,
"North Country Community College",,,,,,,,,,,,,,,93106,,,,,68594,,,,,19379,,,100166,,,,,34678,,,,,18148,,,80195,,,,,50438,,,,,14326,,,76720,,,,,41530,,,,,9320,,,83806,,,,,47251,,,,,14096,,,101593,,,,,57062,21258,,,,,,,97471,,,,,57345,19849,,,,,,,94523,,,,,60550,18010,,,,,,,101452,,,,,47297,18321,,,,,,,77231,,,,,68056,11687,,,,,,,86591,,,,,53704,11549,,,,,
"Northern New Mexico College",,,,,,,,,,,,,,,393367,,,6813,,,,,,,,,,309498,,,9042,,,,,,,,,,280820,,,14465,,,,,,,,,,329106,,,20447,,,,,,,,,,356818,,,109252,,,,,,,,,,536192,,,149608,,,,,,,,,,434078,,,95281,,,,,,,,,,550332,,,32176,,,,,,,,,,414247,,,,,,,,,,,,,302637,,,,,,,,,,,,,425876,,,,,,,,,,,
"Northern Virginia Community College",,,,,,,,,,,,,,,76663,,,,,32199,,,,,47983,,,71338,,,,,38499,13347,,,,48728,,,67079,,,,,37299,14104,,,,43250,,,59609,,,,,27400,15161,,,,37471,,,66727,,,,,38012,22224,,,,42027,,,61791,,,,,29016,26437,,,,47550,,,52035,,,,,33274,,,,,29429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Northern Wyoming Community College District",,,,,,,,,,,,,,,1211567,,,,,624979,,,,,204009,,,1281532,,,,,715211,,,,,213137,,,1261993,,,,,722705,,,,,211978,,,1244149,,,,,339628,,,,,221235,,,1332008,,,,,324054,,,,,208308,,,1172370,,,,,282331,,,,,222594,,,1059748,,,,,223048,,,,,161614,,,963675,,,,,,,,,,132460,,,872138,,,,,,,,,,126831,,,758187,,,,,,,,,,137773,,,721320,,,,,,,,,115798,130735,
"Northwest Indian College",,,,,,,,,,,,,,,92801,,,,,,,,,,,,,43628,,,,,,,,,,,,,120571,,,,,,,,,,,,,107112,,,,,,,,,,,,,166205,,,,,,,,,,,,,125066,,,,,,,,,,,,,92676,,,,,,,,,,,,,140613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notre Dame de Namur University",,,,,,,,,,,,,,,819592,,,97886,,796962,264635,,,741116,343648,,,695381,,,72793,,697470,265098,,,451951,315465,,,620902,,,61789,,430858,215722,,,130106,247090,,,508068,,,58364,,378127,150338,,,,239505,,,509401,,,63610,,336915,130289,,19735,,223484,,,519274,,,55050,,316582,188958,,18166,,227250,,,480425,,,64202,,291003,191104,,20227,,247468,,,434929,,,53807,,301969,177738,,17790,,196452,,,454463,,,55826,,349241,247600,,34752,,151688,,,349686,,,70719,,290012,154675,,26139,,105405,,,393973,,,93899,,373148,191607,,39200,,162348,
"Oakwood University",,,,,,,,,,,,,,,136689,,,,,22515,,,,,15357,,,98735,,,,,32784,,,,,22687,,,76130,,,,,19894,,,,,10382,,,80791,,,,,20640,,,,,15874,,,86673,,,,,13778,,,,,12933,,4000,64300,,,,,6375,1000,,,,5719,,7203,79471,,,,,20592,5434,,,,12878,,,55357,,,,,7355,,,,,4419,,,82397,,,,,12409,,,,,4338,,,49248,,,,,7733,,,,,3595,,,54534,,,,,5297,,,,,4811,
"Oglala Lakota College",,,,,,,,,,,,,,,46201,,,,,,,,,,,,,67025,,,,,,,,,,,,,125462,,,,,,,,,,,,,61173,,,,,,,,,,,,,73580,,,,,,,,,,,,,82142,,,3660,,,,,,,,,,96824,,,4774,,,,,,,,,,120381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Hope Christian College-Eugene",,,,,,,,,,,,,,,76852,,,,,,,,,,83126,,,72146,,,,,,,,,,86358,,,71764,,,,,,,,,,85406,,,132317,,,21796,,,,,,,96462,,,184755,,,15825,,,,,,,72129,,,167960,,,19956,,,,,,,82733,,,190000,,,,,,,,,,95000,,,185000,,,,,,,,,,72500,,,123333,,,,,,,,,,,,,132333,,,,,,,,,,,,,,,,,,,,,,,,
"American National University",,,,,,,,,,,,,,,19759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNY Westchester Community College",,,,,,,,,,,,,,61576,125900,,,,,35606,,,,,32090,,71839,96921,,,20540,,28564,,,,,23789,,59863,63950,,,16899,,24746,6117,,,,22151,,47448,,,,17378,,19562,30882,,,,17511,,53061,,,,12389,,24663,23060,,,,15561,,46325,42855,,,13699,,23985,14224,,,,18113,,68680,106179,,,28903,,41565,9609,,,,28639,,110040,142411,,,,,31119,46669,,,,42672,,29323,60999,,,14591,,14154,25880,,,,21550,,29323,61187,,,17991,,22614,23075,,,,19990,,25583,49437,,,11801,,18264,21070,,,,16173,
"Wiley College",,,,,,,,,,,,,,176312,522896,,,,,,,,,,171083,,298018,450421,,,,,,,,,,189695,,280431,495814,,,,,310921,,,,484885,206821,,,,,,,,,,,,,,,206038,398567,,,,,357784,,,,,190623,,270493,618632,,,,,592497,,,,,282148,,182106,345986,,,,,407512,,,,,232039,,174933,352672,,,,,416547,,,,,196208,,114830,433267,,,,,170342,,,,,122247,,71777,142708,,,,,,,,,77641,58429,,90403,274753,,,,,,,,,91965,85889,
"Ocean County College",,,,,,,,,,,,,,21052,51785,,,,,40574,,,14777,,19190,,44743,46766,,,6994,,50517,32131,,23335,,19560,,43325,46599,,,7236,,55717,32016,,12049,,23255,,44615,56220,,,9662,,40603,31550,,15889,,24480,,46283,49720,,,7605,,42561,47672,,15965,,20587,,23234,42637,,,6508,,37077,22817,,25123,,20240,,23214,42667,,,7307,,32569,17667,,14929,,,,23838,59725,,,7697,,45723,16089,,14082,,,,20297,47608,,,12305,,52150,16133,,13222,,,,20214,52695,,,12471,,49656,17136,,13544,,,,19744,47294,,,13998,,38239,15888,,9955,,,
"Paine College",,,,,,,,,,,,,,159159,450957,,,48453,,,116689,,,,125496,,181426,446730,,,61040,,,94857,,,,123117,,152515,446170,,,62380,,,82234,,,,127163,,149122,432289,,,67481,,,75420,,,,97368,,169347,524477,,,57687,,,106309,,,,106405,,183846,587336,,859852,45849,,,97030,,,,109349,,221382,673171,,,99651,,,98990,,,,118665,,184962,576143,,,117352,,,114953,,,,156338,,184339,637126,,,109300,,,75881,,,,154895,,140383,537442,,,99974,,,92705,,,,90540,,125863,435805,,,68546,,,90336,,,197525,156828,
"Palomar College",,,,,,,,,,,,,,35300,82075,,192110,54565,,51245,52075,,71052,,60230,26275,89210,77045,,213435,38834,,51874,77481,,43255,,81872,27013,91497,76374,,213200,41264,,56692,76626,,43565,,79418,25639,92483,74388,,217310,41821,,52188,74896,,47225,,82089,26261,87363,66698,,210226,35667,,46228,67483,,26625,,77240,25304,85618,65482,,207929,44497,,45176,65836,,53612,,76234,26886,82579,61993,,206192,43993,,44339,64346,87352,55550,,73766,26172,82521,61900,,211275,43927,,44273,64250,87221,55467,,73656,26133,109233,69556,,239318,58495,,48836,61688,100806,56508,,79035,29045,108955,69175,,237964,56938,,44941,54786,99383,55835,,73273,28834,87211,67819,,233298,60070,,43623,53712,97435,54741,,71836,28269
